param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0050,IDENT
kappaBM,0.5,0.0000,0.0970,IDENT
kappaBC,0.5,0.0000,0.1119,IDENT
etaBM,1.35,0.0000,0.1273,IDENT
etaBC,1.5,0.0000,0.1394,IDENT
etaRC,1.5,0.0000,0.1730,IDENT
epsC,0.8,0.0000,0.1962,IDENT
eps13,1,0.0000,0.2333,IDENT
epsM,0.6,0.0000,0.2436,IDENT
kappaB13,0.5,0.0000,0.3221,IDENT
lambda5,1.3,0.0000,0.3347,IDENT
kappaR,0.4,0.0000,0.3456,IDENT
W,1.5,0.0000,0.3954,IDENT
etaB13,0.95,0.0000,0.4635,IDENT
etaR,2.5,0.0000,0.5371,WEAK
lambdaP,1.6,0.0000,0.5843,WEAK
epsP,1,0.0000,0.7746,WEAK
eta13,0.75,0.0000,0.8153,WEAK
etaM,2.5,0.0000,0.8350,WEAK
kappa5,0.5,0.0000,0.8421,WEAK
rho13,1.3,0.0000,0.8512,WEAK
etaM13,0.55,0.0000,0.8634,WEAK
rhoB,1.1,0.0000,0.8674,WEAK
kappa13,0.55,0.0000,0.9129,WEAK
rho5,1.1,0.0000,0.9464,WEAK
eps5,1.2,0.0000,0.9533,WEAK
a5,0.15,0.0000,0.9541,WEAK
kappaM13,0.5,0.0000,0.9628,WEAK
kappaRC,0.5,0.0000,0.9647,WEAK
kappaM,0.5,0.0000,0.9712,WEAK
a13,0.18,0.0000,0.9806,WEAK
aM,0.18,0.0000,0.9857,WEAK
epsR,0.4,0.0000,0.9914,WEAK
aC,0.08,0.0000,0.9979,WEAK
deltaP1,3.5,0.7071,0.3673,NON-IDENT
thetaP,0.5,0.7071,0.3673,NON-IDENT
